trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-167.54696739658084,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-107.08074430149571,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,0,-74.4463148892801,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-54.32260996915103,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,9,12.549048501385053,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-6.875839858631109,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,2,-35.190178290103105,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-137.63501927434316,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,13,-33.965579613579486,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-1.3552959388243513,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,4,-49.65305390678683,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,16,-6.955728921304596,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.418951549247639}",25,11,10.463694487584151,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,7,-17.945101035764086,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
